"track","artist","stream_on_youtube","stream_on_spotify"
"Love... (Her Fault) [feat. Bryson Tiller]","Wale","0","53388711"
"Allah Ke Bande","Kailash Kher","0","21259141"
"45","Shinedown","0","125995261"
"That's Hilarious","Charlie Puth","0","109251579"
"Somewhere Only We Know","Keane","0","881477862"
"Happier","Bastille","0","1798354650"
"King And Lionheart","Of Monsters and Men","0","139929102"
"Barbie & Ken","Set It Off","0","6389412"
"On BS","Drake","0","100595022"
"THATS WHAT I WANT","Lil Nas X","0","816086723"
"Pretty Little Fears (feat. J. Cole)","6LACK","0","344568695"
"Kajra / Uden Jab Jab Mashup","Shashaa Tirupati","0","8096832"
"emotions","iann dior","0","318236103"
"My Head & My Heart","Ava Max","0","405052573"
"Brand New City","Mitski","0","49030210"
"Spectrum (Say My Name) - Calvin Harris Remix","Florence + The Machine","0","193690061"
"Past Lives (8D Audio)","creamy","0","8166020"
"Evergreen (You Didn’t Deserve Me At All)","Omar Apollo","0","157495948"
"Un Viaje Largo","Marcela Gandara","0","41003222"
"HOTEL LOBBY (Unc & Phew)","Takeoff","0","154476023"
"Overseas","Thundercat","0","10767933"
"Fiera","Tiago PZK","0","30234682"
"Set dos Casados","Mc Don Juan","0","109094189"
"Amor de Violeiro","Eduardo Costa","0","32859041"
"Dancing On My Own - Tiësto Remix","Calum Scott","0","125677413"
"Angels Like You","Miley Cyrus","0","304294243"
"LITE SPOTS","KAYTRANADA","0","29240851"
"Automatic","Miranda Lambert","0","65378997"
"MONEY","Geolier","0","13302591"
"Urgent","Foreigner","0","55807386"
"La Sinvergüenza","Christian Nodal","0","167661438"
"Cure For Me","AURORA","0","86281439"
"Flare Guns","Chelsea Cutler","0","143716007"
"Get It Shawty","Lloyd","0","61162082"
"Eso en 4 No Se Ve","J Alvarez","0","13660418"
"Next to Me","RÜFÜS DU SOL","0","35504263"
"telepatía","Kali Uchis","0","783392674"
"Party Till We Die (feat. Andrew W.K.)","Timmy Trumpet","0","111692652"
"Verte","Dread Mar I","0","95208999"
"Collide (Sped Up Remix)","Justine Skye","0","52526180"
"One Touch","Jess Glynne","0","157533467"
"strawberry moon","IU","0","33708653"
"fOoL fOr YoU","ZAYN","0","206577757"
"Mambo (feat. Sean Paul, El Alfa, Sfera Ebbasta & Play-N-Skillz)","Willy William","0","26922954"
"My Oh My (feat. DaBaby)","Camila Cabello","0","599156504"
"Miss Independent","Ne-Yo","0","475108514"
"LACONE","Quevedo","0","40827555"
